,Private Home,Hotel,Guest House,Other,Total
January,"1,721","3,302",574,740,"6,337"
February,"3,156","6,059",843,"1,231","11,289"
March,"2,066","4,432",782,891,"8,171"
April,"2,761","3,743",574,803,"7,881"
May,"1,573","3,790",366,515,"6,244"
June,"1,935","2,219",264,400,"4,818"
July,"3,038","3,447",424,531,"7,441"
August,"2,193","2,984",374,621,"6,172"
September,"2,076","1,838",451,671,"5,036"
October,"1,312","2,908",464,487,"5,171"
November,"1,501","3,569",398,611,"6,079"
December,"3,218","4,067",657,879,"8,821"
Total ,"26,550","42,359","6,171","8,380","83,460"
