Months,2002,2003,2004,2005,2006 (r) ,2007 (r),2008,2009,2010,
January,"30,335","25,809","29,049","44,503","31,481","33,881","46,577","30,620","34,118",
February,"40,193","46,408","50,478","45,294","54,302","47,372","34,999","46,085","33,858",
March,"31,785","30,500","35,757","43,498","35,670","34,862","40,780","32,005","33,740",
April,"27,918","35,186","40,256","36,023","39,610","36,063","37,733","34,641","29,203",
May,"29,427","30,151","29,653","35,194","37,779","34,487","36,044","32,048","27,198",
June,"28,662","29,286","30,534","33,539","33,948","35,298","30,002","33,126","30,084",
July,"41,061","42,112","43,518","45,306","45,372","42,524","47,948","43,450","42,639",
August,"37,489","38,841","41,167","39,802","41,457","38,791","36,414","35,112","33,927",
September,"22,832","25,557","27,635","28,287","29,877","29,140","26,900","25,442","26,335",
October,"27,443","31,023","31,081","31,517","31,421","31,994","30,980","29,562","27,858",
November,"28,224","30,053","34,440","33,372","31,220","36,190","29,772","29,798","28,094",
December,"38,843","44,143","48,987","46,855","48,914","48,850","39,130","46,975","40,505",
TOTAL,"384,212","409,069","442,555","463,190","461,051","449,452","437,279","418,864","387,559",
