Months,2002,2003,2004,2005,2006 (r) ,2007 (r),2008,2009,2010,,,
January,"26,994","20,446","22,768","34,906",#REF!,"26,256","43,376","27,652",#REF!,,,
February,"34,568","39,218","42,530","36,013",#REF!,"38,441","33,031","42,254",#REF!,,,
March,"25,766","24,871","27,698","33,374",#REF!,"29,122","34,676","28,738",#REF!,,,
April,"24,111","29,353","33,536","29,359",#REF!,"30,617","32,416","31,776",#REF!,,,
May,"25,991","24,216","24,131","29,719",#REF!,"30,222","31,656","28,926",#REF!,,,
June,"25,305","25,522","26,122","28,124",#REF!,"32,101","27,400","30,960",#REF!,,,
July,"35,851","36,300","36,684","37,530",#REF!,"37,843","45,383","40,885",#REF!,,,
August,"32,550","33,104","35,200","33,349",#REF!,"35,047","33,668","33,219",#REF!,,,
September,"19,244","21,358","22,517","23,436",#REF!,"25,416","24,992","23,704",#REF!,,,
October,"22,926","25,685","25,565","26,288",#REF!,"27,818","29,397",#REF!,#REF!,,,
November,"23,116","24,258","27,310","26,977",#REF!,"31,078","27,425",#REF!,#REF!,,,
December,"35,962","36,583","39,765","37,648",#REF!,"42,491","36,078","36,078",#REF!,,,
TOTAL,"332,384","340,914","363,826","376,723",#REF!,"386,452","399,498",#REF!,#REF!,,,
YTD (Jan-Oct),"296,422","304,331","324,061","339,075",#REF!,"343,961",,,,,,
