,Apartment                               ,Bed & Breakfast                         ,Campus                                  ,Condo                                   ,Dive Lodge/Eco Lodge                    ,Guest House                             ,Hotel                                   ,Private Home                            ,Staff House                             ,Villa/Cottage/Bungalow                  ,Undefined                               ,Total
January,253,52,234,27,22,560,6689,15303,29,327,10622,34118
February,116,31,8,28,6,410,4884,18177,15,165,10018,33858
March,288,61,22,28,18,678,7782,12521,44,329,11969,33740
April,200,40,30,21,9,480,6792,13816,11,241,7563,29203
May,150,51,58,17,5,458,6285,13902,14,234,6024,27198
June,149,47,23,12,4,346,5995,14935,11,309,8253,30084
July,122,43,250,37,11,621,6978,26659,22,187,7709,42639
August,69,40,151,17,9,422,5909,17574,11,194,9531,33927
September,130,88,111,10,8,389,6274,12042,31,100,7152,26335
October,141,52,25,24,4,386,6760,13801,27,140,6498,27858
November,163,32,19,8,6,413,7132,13262,34,6828,197,28094
December,213,24,28,26,8,467,4702,23259,7,189,11582,40505
YTD Total ,"1,994",561,959,255,110,"5,630","76,182","195,251",256,"9,243","97,118","387,559"
