,Visiting Friends & Relatives            ,Leisure/ Beach Vacation                 ,Business/Convention                     ,Wedding/Honeymoon                       ,Study                                   ,Other,Total
January,"7,789","14,135","6,873",343,"1,086","3,892","34,118"
February,"5,994","22,762","2,584",142,68,"2,308","33,858"
March,7348,15382,6448,285,195,4082,33740
April,6272,13302,6021,410,195,3003,29203
May,6820,10840,6159,474,328,2577,27198
June,7714,13472,6156,671,155,1916,30084
July,10750,20763,6335,932,245,3614,42639
August,8263,16071,5526,619,484,2964,33927
September,6922,8665,6316,382,789,3261,26335
October,8683,9573,6836,388,190,2188,27858
November,8737,9929,6925,368,117,2018,28094
December,12458,21377,3818,352,87,2413,40505
Total,"97,750","176,271","69,997","5,366","3,939","34,236","387,559"
